Date,Amount,Category,Description
2025-01-03,300.0,Other,Electricity bill
2025-01-01,500.0,Shopping,Clothes
2025-01-05,0.0,Shopping,Gym
2025-03-31,500.0,Health,Clothes
2025-01-14,120.0,Transport,Gym
2025-01-27,300.0,Entertainment,0
2025-01-09,500.0,Entertainment,Lunch
2025-03-20,50.0,Other,0
2025-01-15,50.0,Health,Snacks
2025-03-31,800.0,0,Groceries
2025-02-11,300.0,Bills,Movie
2025-03-18,300.0,Transport,Gym
2025-02-20,800.0,Health,Snacks
2025-03-04,500.0,Transport,Groceries
2025-02-21,300.0,Transport,Doctor visit
2025-01-04,50.0,Transport,Lunch
2025-01-23,50.0,Health,Clothes
2025-01-15,0.0,Other,Clothes
2025-02-12,120.0,Entertainment,0
2025-01-29,300.0,Entertainment,Electricity bill
2025-02-05,500.0,Other,Groceries
2025-01-13,800.0,Transport,Doctor visit
2025-02-01,800.0,Bills,Snacks
2025-03-12,500.0,Food,Lunch
2025-02-28,2000.0,Health,Groceries
2025-03-27,1000.0,Food,Doctor visit
2025-01-28,120.0,0,Movie
2025-03-07,800.0,Other,Gym
2025-02-11,300.0,Bills,Clothes
2025-02-14,120.0,Health,Snacks
2025-03-03,300.0,Other,Clothes
2025-02-26,2000.0,Transport,Snacks
2025-01-06,50.0,Entertainment,0
2025-01-28,120.0,Food,Electricity bill
2025-01-28,0.0,Shopping,Snacks
2025-02-13,800.0,Shopping,Clothes
2025-03-25,120.0,Bills,0
2025-01-30,120.0,Transport,Snacks
2025-03-03,120.0,0,Movie
2025-03-16,1000.0,Food,Electricity bill
2025-03-30,120.0,Transport,Snacks
2025-03-03,300.0,Food,0
2025-01-01,50.0,Bills,Groceries
2025-01-27,2000.0,Bills,Bus fare
2025-03-03,500.0,0,Doctor visit
2025-03-18,120.0,Shopping,Bus fare
2025-01-03,800.0,Transport,Bus fare
2025-03-11,120.0,Health,Lunch
2025-03-13,800.0,Shopping,Movie
2025-01-27,300.0,Transport,Groceries
2025-01-09,800.0,Shopping,Gym
2025-03-03,0.0,Health,Snacks
2025-02-06,500.0,Entertainment,Doctor visit
2025-02-20,50.0,Entertainment,Electricity bill
2025-02-13,800.0,0,Groceries
2025-01-24,800.0,Entertainment,Clothes
2025-03-20,50.0,Entertainment,Gym
2025-02-28,500.0,Other,Lunch
2025-02-01,120.0,Food,Lunch
2025-03-29,800.0,Other,Groceries
2025-02-21,50.0,Other,0
2025-03-03,0.0,0,Bus fare
2025-02-27,0.0,Other,Clothes
2025-02-21,300.0,Entertainment,Lunch
2025-01-12,50.0,Health,Doctor visit
2025-02-08,300.0,0,Lunch
2025-01-02,0.0,0,Electricity bill
2025-01-03,500.0,Bills,Snacks
2025-02-25,120.0,0,Lunch
2025-03-22,50.0,Bills,Electricity bill
2025-02-28,2000.0,0,Groceries
2025-01-02,0.0,Food,Groceries
2025-01-02,0.0,Entertainment,Gym
2025-02-23,2000.0,0,Lunch
2025-03-28,1000.0,Entertainment,Doctor visit
2025-01-01,0.0,Entertainment,Lunch
2025-01-19,800.0,Shopping,Doctor visit
2025-01-02,500.0,0,Movie
2025-02-22,50.0,Transport,Gym
2025-02-13,2000.0,Shopping,Movie
2025-03-31,800.0,Transport,Lunch
2025-02-01,2000.0,Entertainment,Gym
2025-03-11,50.0,Entertainment,Movie
2025-02-01,300.0,Shopping,Bus fare
2025-03-09,50.0,Shopping,Lunch
2025-02-24,1000.0,Transport,Movie
2025-03-16,50.0,Bills,Bus fare
2025-02-25,50.0,Transport,Bus fare
2025-01-17,1000.0,Shopping,Groceries
2025-02-07,500.0,Health,Lunch
2025-01-24,0.0,Shopping,Bus fare
2025-03-10,50.0,Health,Groceries
2025-03-11,1000.0,Food,Movie
2025-03-27,800.0,Shopping,Electricity bill
2025-01-11,300.0,Food,Lunch
2025-01-16,300.0,Bills,Gym
2025-03-14,50.0,Transport,Doctor visit
2025-02-28,500.0,Health,Doctor visit
2025-03-11,500.0,Transport,Movie
2025-03-21,800.0,Food,0
2025-01-03,50.0,Health,0
2025-01-20,300.0,Transport,Movie
2025-02-28,500.0,Shopping,Bus fare
2025-02-05,50.0,Entertainment,Lunch
2025-01-19,2000.0,Food,Doctor visit
2025-03-31,500.0,Transport,Doctor visit
2025-03-08,1000.0,Food,Bus fare
2025-01-19,2000.0,Other,Doctor visit
2025-01-20,0.0,Food,Gym
2025-03-12,500.0,Health,Lunch
2025-02-21,300.0,Other,Snacks
2025-02-02,120.0,0,Doctor visit
2025-02-09,2000.0,Health,Movie
2025-02-08,0.0,Entertainment,Gym
2025-03-23,800.0,Other,Doctor visit
2025-01-01,800.0,0,Gym
2025-01-11,300.0,Shopping,Groceries
2025-02-26,500.0,Food,Snacks
2025-03-30,50.0,Transport,Clothes
2025-02-19,500.0,Bills,Movie
2025-01-23,300.0,Food,Movie
2025-01-31,800.0,0,Lunch
2025-02-11,500.0,Food,Gym
2025-01-07,800.0,Entertainment,Bus fare
2025-01-16,2000.0,Shopping,Movie
2025-03-31,0.0,Bills,Gym
2025-03-01,50.0,Other,Gym
2025-01-02,2000.0,Other,Electricity bill
2025-01-01,800.0,Other,Electricity bill
2025-02-17,800.0,0,Clothes
2025-01-12,120.0,Health,Groceries
2025-03-10,120.0,Health,Clothes
2025-02-06,2000.0,Transport,Doctor visit
2025-02-01,1000.0,Bills,Bus fare
2025-01-09,2000.0,Other,Doctor visit
2025-01-19,120.0,Health,0
2025-02-17,800.0,0,Doctor visit
2025-03-21,300.0,Transport,Lunch
2025-01-03,2000.0,Shopping,Doctor visit
2025-01-20,800.0,Transport,Clothes
2025-01-24,300.0,Health,Movie
2025-02-23,300.0,Entertainment,Movie
2025-02-02,120.0,0,Electricity bill
2025-01-24,2000.0,Entertainment,Bus fare
2025-03-16,500.0,Other,Bus fare
2025-03-13,50.0,Entertainment,Lunch
2025-02-05,120.0,Other,Clothes
2025-02-07,120.0,Other,Electricity bill
2025-03-25,500.0,Health,0
2025-03-30,50.0,Entertainment,Bus fare
2025-01-25,800.0,Other,Movie
2025-01-18,1000.0,Bills,Doctor visit
2025-03-23,2000.0,Shopping,Doctor visit
2025-03-07,1000.0,Transport,Electricity bill
2025-02-23,800.0,Transport,Clothes
2025-02-04,0.0,Health,Clothes
2025-03-21,120.0,Entertainment,Groceries
2025-03-02,50.0,Entertainment,Snacks
2025-02-10,120.0,Other,Bus fare
2025-02-02,300.0,0,Clothes
2025-03-09,120.0,Food,Movie
2025-02-02,120.0,Other,Electricity bill
2025-01-14,800.0,Shopping,0
2025-01-21,800.0,Bills,Groceries
2025-02-17,800.0,Transport,Gym
2025-01-20,1000.0,Other,Lunch
2025-01-08,300.0,Food,0
2025-01-07,0.0,Food,Gym
2025-03-08,0.0,Other,Doctor visit
2025-01-17,800.0,Health,Lunch
2025-02-02,50.0,Transport,Bus fare
2025-02-17,1000.0,Health,Movie
2025-03-17,500.0,Bills,Lunch
2025-02-28,50.0,Food,Snacks
2025-03-27,2000.0,Food,Gym
2025-01-22,2000.0,Shopping,Bus fare
2025-01-30,50.0,Bills,Snacks
2025-02-07,800.0,Food,Doctor visit
2025-02-20,500.0,Bills,Snacks
2025-02-23,500.0,Transport,Groceries
2025-01-08,1000.0,Entertainment,Groceries
2025-01-27,500.0,Food,Electricity bill
2025-01-27,2000.0,Shopping,0
2025-01-21,300.0,Transport,0
2025-01-30,800.0,Other,Bus fare
2025-01-28,500.0,Bills,Doctor visit
2025-03-05,1000.0,Other,Clothes
2025-03-10,2000.0,Health,Groceries
2025-03-02,300.0,Transport,Bus fare
2025-02-17,120.0,Other,Clothes
2025-01-19,120.0,0,0
2025-01-04,300.0,0,Electricity bill
2025-02-04,2000.0,Food,Snacks
2025-03-05,1000.0,Bills,Groceries
2025-02-18,300.0,Entertainment,Bus fare
2025-01-17,800.0,Transport,Lunch
2025-02-13,800.0,Food,Clothes
2025-01-30,120.0,Shopping,Snacks
2025-02-15,500.0,Health,Groceries
2025-01-06,1000.0,Bills,0
2025-02-06,120.0,Transport,Doctor visit
2025-01-24,500.0,0,Clothes
2025-02-15,500.0,Transport,0
2025-02-22,0.0,Entertainment,Groceries
2025-03-01,800.0,0,Clothes
2025-03-04,2000.0,Entertainment,Snacks
2025-03-26,50.0,Shopping,Groceries
2025-02-01,2000.0,Health,Gym
2025-03-28,50.0,Shopping,Bus fare
2025-02-02,300.0,Food,Snacks
2025-03-08,800.0,Food,Clothes
2025-01-18,500.0,Shopping,Doctor visit
2025-01-25,1000.0,Health,0
2025-02-23,50.0,Shopping,Lunch
2025-02-27,2000.0,Health,0
2025-03-08,500.0,Health,Clothes
2025-02-15,50.0,Other,0
2025-01-24,50.0,0,Bus fare
2025-02-01,0.0,Bills,Groceries
2025-02-16,50.0,Health,Lunch
2025-03-27,1000.0,Entertainment,Movie
2025-01-23,800.0,Health,Clothes
2025-03-07,1000.0,Health,Electricity bill
2025-01-27,120.0,Health,Movie
2025-01-02,500.0,Other,0
2025-03-31,800.0,0,Clothes
2025-01-17,0.0,Other,Gym
2025-02-02,800.0,Food,Electricity bill
2025-01-09,800.0,Other,Lunch
2025-02-12,2000.0,Entertainment,Doctor visit
2025-02-17,800.0,Entertainment,Gym
2025-02-08,0.0,Other,Movie
2025-02-11,1000.0,0,Groceries
2025-01-26,800.0,Shopping,Bus fare
2025-02-19,300.0,Bills,Doctor visit
2025-01-25,500.0,0,Gym
2025-01-24,800.0,Other,Groceries
2025-01-13,500.0,Health,Groceries
2025-03-01,300.0,Transport,Clothes
2025-01-07,300.0,Bills,Gym
2025-02-26,500.0,Bills,Lunch
2025-02-05,50.0,Entertainment,0
2025-02-14,120.0,Bills,Electricity bill
2025-01-20,2000.0,Other,Electricity bill
2025-03-06,50.0,Health,Movie
2025-01-08,50.0,Health,Movie
2025-01-16,1000.0,Food,Electricity bill
2025-01-14,2000.0,Health,Lunch
2025-03-17,2000.0,0,Bus fare
2025-03-28,50.0,Health,Snacks
2025-01-15,800.0,Entertainment,0
2025-03-07,1000.0,Health,Bus fare
2025-02-01,1000.0,Food,Clothes
2025-03-28,300.0,Transport,Snacks
2025-03-04,0.0,Other,Snacks
2025-03-27,2000.0,Entertainment,Gym
2025-02-20,50.0,0,Lunch
2025-01-25,300.0,Transport,Lunch
2025-02-27,500.0,Entertainment,Snacks
2025-03-04,120.0,Shopping,Gym
2025-03-03,0.0,Bills,0
2025-01-22,0.0,Shopping,Snacks
2025-02-27,0.0,Health,Doctor visit
2025-02-27,1000.0,Transport,Movie
2025-03-27,500.0,Health,Movie
2025-02-18,0.0,Bills,Bus fare
2025-08-09,500.0,Food,Lunch
2025-09-11,150.0,Bill,Bus fare
2025-10-11,250.0,Food,Lunch
2025-08-09,350.0,Food,Lunch
2025-09-08,650.0,Food,Dinner
2025-08-09,450.0,Bill,Bus fare
2025-09-10,2000.0,0,Lunch
